Poll,Date,Sample,Spread
Economist/YouGov,Economist,7/31 - 8/1,1329 RV
Quinnipiac,Quinnipiac,7/27 - 8/1,1125 RV
Economist/YouGov,Economist,7/23 - 7/25,1282 RV
Economist/YouGov,Economist,7/15 - 7/18,1273 RV
ABC News/Wash Post,ABC/WP,7/10 - 7/13,RV
Economist/YouGov,Economist,7/9 - 7/11,1284 RV
Economist/YouGov,Economist,7/3 - 7/4,1323 RV
FOX News,FOX News,6/25 - 6/27,1017 RV
Economist/YouGov,Economist,6/25 - 6/27,1295 RV
Quinnipiac,Quinnipiac,6/22 - 6/27,1212 RV
NPR/PBS/Marist,NPR/PBS/Marist,6/21 - 6/25,995 RV
Economist/YouGov,Economist,6/18 - 6/20,1277 RV
NBC News/Wall St. Jrnl,NBC/WSJ,6/17 - 6/20,765 RV
Economist/YouGov,Economist,6/11 - 6/13,1310 RV
PPP (D),PPP (D),6/9 - 6/11,811 RV
Economist/YouGov,Economist,6/4 - 6/6,1288 RV
Quinnipiac,Quinnipiac,5/31 - 6/6,1361 RV
Economist/YouGov,Economist,5/27 - 5/30,1269 RV
Quinnipiac,Quinnipiac,5/4 - 5/9,1078 RV
Economist/YouGov,Economist,5/20 - 5/23,1276 RV
Economist/YouGov,Economist,5/13 - 5/16,1298 RV
PPP (D),PPP (D),5/12 - 5/14,692 RV
Economist/YouGov,Economist,5/6 - 5/9,1287 RV
Economist/YouGov,Economist,4/29 - 5/2,1255 RV
FOX News,FOX News,4/23 - 4/25,1009 RV
Economist/YouGov,Economist,4/23 - 4/25,1289 RV
CNN/ORC,CNN/ORC,4/22 - 4/25,RV
NBC News/Wall St. Jrnl,NBC/WSJ,4/17 - 4/20,759 RV
PPP (D),PPP (D),4/17 - 4/18,648 RV
Economist/YouGov,Economist,4/15 - 4/18,1291 RV
Marist,Marist,4/11 - 4/12,869 RV
PPP (D),PPP (D),3/27 - 3/28,677 RV
McClatchy/Marist,McClatchy,3/22 - 3/27,906 RV
PPP (D),PPP (D),3/10 - 3/12,808 RV
PPP (D),PPP (D),2/21 - 2/22,941 RV
PPP (D),PPP (D),1/23 - 1/24,1043 RV
