Poll,Date,Sample,Democrats (D),Republicans (R),Spread
FOX News,6/25 - 6/27,1017 RV,47,41,Democrats +6
Economist/YouGov,6/25 - 6/27,1295 RV,41,35,Democrats +6
Quinnipiac,6/22 - 6/27,1212 RV,51,41,Democrats +10
NPR/PBS/Marist,6/21 - 6/25,995 RV,48,38,Democrats +10
Economist/YouGov,6/18 - 6/20,1277 RV,38,35,Democrats +3
NBC News/Wall St. Jrnl,6/17 - 6/20,765 RV,50,42,Democrats +8
Economist/YouGov,6/11 - 6/13,1310 RV,38,36,Democrats +2
PPP (D),6/9 - 6/11,811 RV,50,40,Democrats +10
Economist/YouGov,6/4 - 6/6,1288 RV,41,37,Democrats +4
Quinnipiac,5/31 - 6/6,1361 RV,51,39,Democrats +12
Economist/YouGov,5/27 - 5/30,1269 RV,39,33,Democrats +6
Quinnipiac,5/4 - 5/9,1078 RV,54,38,Democrats +16
Economist/YouGov,5/20 - 5/23,1276 RV,38,36,Democrats +2
Economist/YouGov,5/13 - 5/16,1298 RV,40,33,Democrats +7
PPP (D),5/12 - 5/14,692 RV,49,38,Democrats +11
Economist/YouGov,5/6 - 5/9,1287 RV,40,35,Democrats +5
Economist/YouGov,4/29 - 5/2,1255 RV,38,35,Democrats +3
FOX News,4/23 - 4/25,1009 RV,47,42,Democrats +5
Economist/YouGov,4/23 - 4/25,1289 RV,39,34,Democrats +5
CNN/ORC,4/22 - 4/25,RV,49,41,Democrats +8
NBC News/Wall St. Jrnl,4/17 - 4/20,759 RV,47,43,Democrats +4
PPP (D),4/17 - 4/18,648 RV,47,41,Democrats +6
Economist/YouGov,4/15 - 4/18,1291 RV,38,32,Democrats +6
Marist,4/11 - 4/12,869 RV,45,38,Democrats +7
PPP (D),3/27 - 3/28,677 RV,48,43,Democrats +5
McClatchy/Marist,3/22 - 3/27,906 RV,47,38,Democrats +9
PPP (D),3/10 - 3/12,808 RV,46,41,Democrats +5
PPP (D),2/21 - 2/22,941 RV,46,43,Democrats +3
PPP (D),1/23 - 1/24,1043 RV,48,40,Democrats +8
